Country,ISOCode3,Need
India,IND,LTS
Paraguay,PRY,LTS
Kazakhstan,KAZ,LTS
Mongolia,MNG,LTS
Tunisia,TUN,LTS
Gabon,GAB,LTS
Liberia,LBR,LTS
Botswana,BWA,LTS
Malawi,MWI,NDC
Mozambique,MOZ,NDC
Rwanda,RWA,NDC
Somalia,SOM,NDC
Zambia,ZMB,NDC
Sierra Leone,SLE,NDC
Benin,BEN,NDC
Ethiopia,ETH,NDC
Mauritania,MRT,NDC
Niger,NER,NDC
Togo,TGO,NDC
IRAN,IRN,NDC
Uganda,UGA,NDC
Mexico,MEX,NDC
Croatia,HRV,NDC
Peru,PER,NDC
Sri Lanka,LKA,NDC
Tanzania,TZA,NDC
Libya,LBY,NDC
Bulgaria,BGR,NDC
Egypt,EGY,NDC